prodid;prodDescription;price1;price2;unitCost;supplierName;productTypeID
1;Enumerator Polishing Equip.;164.97;142.53;120;;3
2;Planetesimal Manufacturing Equip.;347.28;307;250;;2
3;Tailor Jacks;509.78;429.74;399.66;TPC West;15
4;Miniaturizing Manufacturing Equip.;456.24;379.59;325;;2
5;Flake Photo Equip.;232.26;204.39;170;;1
6;Denigrating Polishing Equip.;565.95;454.46;402;;3
7;Bandage Manufacturing Equip.;298;267.01;234;;2
8;Chalmers Polishing Equip.;289.17;242.61;215;;3
9;Defeated Tray Supplies;559.74;476.9;448.29;TPC West;8
10;Chartable Photo Equip.;410.17;347.41;295;;9
11;Sailors Manufacturing Equip.;340.48;290.43;235;;2
12;Chromium Photo Equip.;565.5;457.49;326;;1
13;Coward Covers;429.79;348.99;328.05;TPC East;13
14;Travelings Photo Chemicals;274.39;242.01;225.07;TPC West;9
15;Syntax Polishing Equip.;226.72;190.9;123;;3
16;Insensitivity Manufacturing Equip.;200.71;180.44;117;;2
17;Sortie Covers;248.21;213.21;206.81;TPC East;13
18;Allis Polishing Equip.;201.77;176.35;112;;3
19;Habitually Manufacturing Equip.;509.3;419.15;354;;2
20;Courthouses Manufacturing Equip.;285.62;243.63;182;;2
21;Weeks Polishing Equip.;198.83;174.18;151;;3
22;Extinguisher Manufacturing Equip.;120.39;98.36;65;;2
23;Occlusion Manufacturing Equip.;199.88;177.29;72;;2
24;Loaves Polishing Equip.;425.59;361.33;241;;3
25;Automobiles Fillers;283.83;227.63;218.52;TPC East;12
26;Simulations Photo Equip.;318.38;255.66;193;;1
27;Vastest Photo Equip.;498.08;442.3;294;;1
28;Palm Polishing Equip.;122.39;105.38;87;;33
29;Millimeters Flushing Chemicals;295.56;251.82;241.75;TPC East;10
30;Suing Manufacturing Equip.;482.16;426.71;329;;2
31;Bellowing Polishing Equip.;502.57;451.31;400;;3
32;Embodying Cleaning Supplies;250.91;213.52;207.11;TPC West;5
33;Pervasively Manufacturing Equip.;374.14;334.86;303;;2
34;Septembers Manufacturing Equip.;584.33;522.98;217;;2
35;Birthdays Manufacturing Equip.;196.56;173.17;115;;2
36;Duplicator Polishing Equip.;544.28;465.36;409;;3
37;Escape Manufacturing Equip.;584.38;523.6;463;;2
38;Commendation Fillers;436.33;380.04;364.84;TPC West;12
39;Disallow Manufacturing Equip.;165.24;145.91;97;;2
40;Subclasses Polishing Equip.;282.51;239;210;;3
41;Sulkiness Covers;354.3;289.82;272.43;TPC East;13
42;Concentrators Polishing Equip.;584.57;524.94;472;;3
43;Bomber Photo Equip.;461.34;400.44;336;;1
