invoice,custID,prodID,salesDate,amt,qty,discounted
1,28,81,123108,12483,102,0
2,28,7,123109,16580,38,0
3,10,79,52407,29300,189,0
4,10,18,52406,87598,192,0
4,10,39,52406,6322,21,0
4,10,61,52406,27133,95,0
5,6,56,63005,37730,187,0
6,31,68,40309,58305,137,0
7,6,42,63006,62683,112,0
8,31,11,40306,20195,57,0
8,31,101,40306,29417,102,0
9,17,3,62610,30033,121,0
9,17,91,62610,62534,127,0
10,28,2,123105,32116,63,0
10,28,16,123105,53010,115,0
10,28,91,123105,20188,41,0
10,28,96,123105,20140,188,0
11,23,104,60707,45437,157,0
12,31,74,70310,30129,111,0
13,40,63,31306,12923,65,0
14,40,47,31307,7643,54,0
14,40,86,31307,45983,113,0
15,25,90,52005,8806,21,0
16,25,65,52006,21910,182,0
17,25,16,52008,76980,167,0
17,25,101,52008,43838,152,0
18,34,1,51310,19301,117,0
18,34,17,51310,12113,42,0
19,36,36,12009,50455,126,1
20,36,34,12008,6099,21,1
20,36,65,12008,6260,52,0
21,19,29,22709,8624,17,0
21,19,46,22709,99031,191,0
21,19,77,22709,4980,10,0
22,20,13,91909,24778,71,1
22,20,40,91909,26163,145,1
23,4,23,51505,43627,187,0
23,4,56,51505,39345,195,0
24,36,87,12005,16875,35,0
25,25,7,50910,7417,17,0
25,25,17,50910,57682,200,0
25,25,54,50910,7500,23,0
26,19,29,102910,87771,173,0
26,19,52,102910,16764,29,0
26,19,90,102910,58291,139,0
27,36,64,12006,91664,157,0
28,24,105,90707,42345,152,0
29,36,36,52305,90422,196,0
30,21,94,101807,19832,35,0
30,21,104,101807,31835,110,0
31,21,46,101805,48837,112,1
32,20,5,41909,3973,14,0
33,21,72,101808,21047,156,0
34,21,9,101809,52314,177,0
34,21,18,101809,48361,106,0
35,20,104,41908,50936,176,0
36,33,35,20708,100659,178,0
37,24,4,21710,39141,156,0
37,24,7,21710,78103,179,0
38,12,29,12510,28918,57,0
38,12,34,12510,23493,69,0
38,12,71,12510,49030,154,0
39,9,59,30110,31343,85,0
40,8,66,30710,9721,49,0
40,8,69,30710,35601,81,0
41,18,35,111405,87380,191,1
41,18,97,111405,31675,63,1
42,8,18,122606,91248,200,0
43,18,18,111407,75279,165,0
43,18,73,111407,43933,147,0
44,10,24,52408,30098,101,0
44,10,69,52408,41315,94,0
45,11,58,81905,5328,23,0
45,11,93,81905,30656,61,0
46,26,10,41207,33584,60,0
46,26,63,41207,26444,133,0
46,26,70,41207,57269,98,0
47,37,13,82609,6017,14,0
47,37,19,82609,20535,165,0
47,37,49,82609,70968,125,0
47,37,71,82609,54442,171,0
48,23,40,51508,30307,151,0
48,23,43,51508,6930,14,0
49,21,12,10805,3292,12,0
49,21,91,10805,19696,40,0
50,21,72,10807,4182,31,0
51,21,8,10806,111022,190,0
51,21,80,10806,72107,151,0
52,34,64,61410,78819,135,0
53,21,105,10808,52096,187,0
54,28,12,123107,2743,10,0
55,23,102,51507,6361,20,0
56,11,17,81908,52490,182,0
57,37,5,82605,38600,136,0
57,37,24,82605,22350,75,0
57,37,96,82605,12855,120,0
58,3,41,10807,20189,117,0
