ProductID;ProductName;Price1;Price2;UnitCost;SupplierName;SupplierAddr1;SupplierAddr2;City;State;SupplierZipcode;ProductTypeID
1   ;Enumerator Polishing Equip.   ;165;142.5;135.4;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;3   
2   ;Tailor Jacks                     ;509.8;429.7;399.7;Black Hills Corp.             ;Attn : Edena Gilbert      ;1618 Greenland St.     ;Tallahassee; FL;32304;15  
3   ;Sortie Covers                    ;248.2;213.2;206.8;Fedders Corp.                 ;Attn : Virgil Hubert      ;7844 Carelessly Dr    ;Overlook; WA;98366;13  
4   ;Embodying Cleaning Supplies      ;250.9;213.5;207.1;Immunex Corp.                 ;Attn : Elbert Glad        ;5841 Pervades Dr      ;Fairfax; VA;22035;5   
5   ;Automobiles Fillers              ;283.8;227.6;218.5;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;12  
6   ;Planetesimal Manufacturing Equip.;347.3;307;285.5;First Bancshares Inc. Mo       ;Attn : Jensine Lease      ;11885 Aural Turnpike  ;Louisville; KY;40253;2   
7   ;Commendation Fillers             ;436.3;380;364.8;Fedders Corp.                 ;Attn : Virgil Hubert      ;7844 Carelessly Dr    ;Overlook; WA;98366;12  
8   ;Septembers Manufacturing Equip.  ;584.3;523;517.8;Fedders Corp.                 ;Attn : Virgil Hubert      ;7844 Careless Dr      ;Overlook; WA;98366;2   
9   ;Millimeters Flushing Chemicals   ;295.6;251.8;241.8;Afg Industries Inc.           ;Attn : Dorothy Polk       ;5377 Cookbook Circle  ;Vero Beach; FL;32967;10  
10  ;Defeated Tray Supplies           ;559.7;476.9;448.3;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;8   
11  ;Sulkiness Covers                 ;354.3;289.8;272.4;Dollar General Corp.          ;Attn : Antoinette Hickey  ;3988 Chanced Ave.      ;S Middleton; PA;17007;13  
12  ;Travelings Photo Chemicals       ;274.4;242;225.1;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;122 
13  ;Coward Covers                    ;429.8;349;328.1;Fedders Corp.                 ;Attn : Virgil Hubert      ;7844 Carelessly Dr    ;Overlook; WA;98366;13  
14  ;Engle Photo Chemicals            ;429.9;346.1;342.6;Black Hills Corp.             ;Attn : Edena Gilbert      ;1618 Greenland St.     ;Tallahassee; FL;32304;9   
15  ;Disposed Fillers                 ;158.8;138;132.5;Fedders Corp.                 ;Attn : Virgil Hubert      ;7844 Carelessly Dr    ;Overlook; WA;98366;12  
16  ;Enhanced Covers                  ;461;384.4;361.4;Dollar General Corp.          ;Attn : Antoinette Hickey  ;3988 Chanced Ave.      ;S Middleton; PA;17007;13  
17  ;Optima Cleaning Supplies         ;288.4;255.5;242.8;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;5   
18  ;Miniaturizing Manufacturing Equip.;456.2;379.6;353;American General Ventures Inc. ;Attn : Kimberly Yarborough;1616 Goggles Dr       ;Sterling; KS;67579;2   
19  ;Hesitating Jacks                 ;124.5;100.1;96.1;First Bancshares Inc. Mo       ;Attn : Jensine Lease      ;11885 Aural Turnpike  ;Louisville; KY;40253;15  
20  ;Flake Photo Equip.            ;232.3;204.4;194.2;Sinclair Broadcast Group Inc. ;Attn : Carla Shelby       ;6037 Ecuadorian St.    ;Clinton; MI;49236;1   
21  ;Denigrating Polishing Equip.  ;566;454.5;427.2;First Bancshares Inc. Mo       ;Attn : Jensine Lease      ;11885 Aural Turnpike  ;Louisville; KY;40253;3   
