orderDate_sk,orderDate,month,year,fiscalQuarter,fiscalYear
0,null,null,null,null,null
120204,12/2/04,12,4,Q3,2004
120404,12/4/04,12,4,Q3,2004
120504,12/5/04,12,4,Q3,2004
120604,12/6/04,12,4,Q3,2004
120704,12/7/04,12,4,Q3,2004
120804,12/8/04,12,4,Q3,2004
120904,12/9/04,12,4,Q3,2004
121004,12/10/04,12,4,Q3,2004
121104,12/11/04,12,4,Q3,2004
121204,12/12/04,12,4,Q3,2004
121304,12/13/04,12,4,Q3,2004
121404,12/14/04,12,4,Q3,2004
121504,12/15/04,12,4,Q3,2004
121604,12/16/04,12,4,Q3,2004
121704,12/17/04,12,4,Q3,2004
121804,12/18/04,12,4,Q3,2004
121904,12/19/04,12,4,Q3,2004
122004,12/20/04,12,4,Q3,2004
122104,12/21/04,12,4,Q3,2004
122204,12/22/04,12,4,Q3,2004
122304,12/23/04,12,4,Q3,2004
122404,12/24/04,12,4,Q3,2004
122504,12/25/04,12,4,Q3,2004
122604,12/26/04,12,4,Q3,2004
122704,12/27/04,12,4,Q3,2004
122804,12/28/04,12,4,Q3,2004
122904,12/29/04,12,4,Q3,2004
123004,12/30/04,12,4,Q3,2004
123104,12/31/04,12,4,Q3,2004
10105,1/1/05,1,5,Q4,2004
10205,1/2/05,1,5,Q4,2004
10305,1/3/05,1,5,Q4,2004
10405,1/4/05,1,5,Q4,2004
10505,1/5/05,1,5,Q4,2004
10605,1/6/05,1,5,Q4,2004
10705,1/7/05,1,5,Q4,2004
10805,1/8/05,1,5,Q4,2004
10905,1/9/05,1,5,Q4,2004
11005,1/10/05,1,5,Q4,2004
11105,1/11/05,1,5,Q4,2004
11205,1/12/05,1,5,Q4,2004
11305,1/13/05,1,5,Q4,2004
11405,1/14/05,1,5,Q4,2004
11505,1/15/05,1,5,Q4,2004
11605,1/16/05,1,5,Q4,2004
11705,1/17/05,1,5,Q4,2004
11805,1/18/05,1,5,Q4,2004
11905,1/19/05,1,5,Q4,2004
12005,1/20/05,1,5,Q4,2004
12105,1/21/05,1,5,Q4,2004
12205,1/22/05,1,5,Q4,2004
12305,1/23/05,1,5,Q4,2004
12405,1/24/05,1,5,Q4,2004
12505,1/25/05,1,5,Q4,2004
12605,1/26/05,1,5,Q4,2004
12705,1/27/05,1,5,Q4,2004
12805,1/28/05,1,5,Q4,2004
12905,1/29/05,1,5,Q4,2004
13005,1/30/05,1,5,Q4,2004
13105,1/31/05,1,5,Q4,2004
20105,2/1/05,2,5,Q4,2004
20205,2/2/05,2,5,Q4,2004
20305,2/3/05,2,5,Q4,2004
20405,2/4/05,2,5,Q4,2004
20505,2/5/05,2,5,Q4,2004
20605,2/6/05,2,5,Q4,2004
20705,2/7/05,2,5,Q4,2004
20805,2/8/05,2,5,Q4,2004
20905,2/9/05,2,5,Q4,2004
21005,2/10/05,2,5,Q4,2004
21105,2/11/05,2,5,Q4,2004
21205,2/12/05,2,5,Q4,2004
21305,2/13/05,2,5,Q4,2004
21405,2/14/05,2,5,Q4,2004
21505,2/15/05,2,5,Q4,2004
21605,2/16/05,2,5,Q4,2004
21705,2/17/05,2,5,Q4,2004
21805,2/18/05,2,5,Q4,2004
21905,2/19/05,2,5,Q4,2004
22005,2/20/05,2,5,Q4,2004
22105,2/21/05,2,5,Q4,2004
22205,2/22/05,2,5,Q4,2004
22305,2/23/05,2,5,Q4,2004
22405,2/24/05,2,5,Q4,2004
22505,2/25/05,2,5,Q4,2004
22605,2/26/05,2,5,Q4,2004
22705,2/27/05,2,5,Q4,2004
22805,2/28/05,2,5,Q4,2004
30105,3/1/05,3,5,Q4,2004
30205,3/2/05,3,5,Q4,2004
30305,3/3/05,3,5,Q4,2004
30405,3/4/05,3,5,Q4,2004
30505,3/5/05,3,5,Q4,2004
30605,3/6/05,3,5,Q4,2004
30705,3/7/05,3,5,Q4,2004
30805,3/8/05,3,5,Q4,2004
30905,3/9/05,3,5,Q4,2004
31005,3/10/05,3,5,Q4,2004
31105,3/11/05,3,5,Q4,2004
31205,3/12/05,3,5,Q4,2004
31305,3/13/05,3,5,Q4,2004
31405,3/14/05,3,5,Q4,2004
31505,3/15/05,3,5,Q4,2004
31605,3/16/05,3,5,Q4,2004
31705,3/17/05,3,5,Q4,2004
31805,3/18/05,3,5,Q4,2004
31905,3/19/05,3,5,Q4,2004
32005,3/20/05,3,5,Q4,2004
32105,3/21/05,3,5,Q4,2004
32205,3/22/05,3,5,Q4,2004
32305,3/23/05,3,5,Q4,2004
32405,3/24/05,3,5,Q4,2004
32505,3/25/05,3,5,Q4,2004
32605,3/26/05,3,5,Q4,2004
32705,3/27/05,3,5,Q4,2004
32805,3/28/05,3,5,Q4,2004
32905,3/29/05,3,5,Q4,2004
33005,3/30/05,3,5,Q4,2004
33105,3/31/05,3,5,Q4,2004
40105,4/1/05,4,5,Q1,2005
40205,4/2/05,4,5,Q1,2005
40305,4/3/05,4,5,Q1,2005
40405,4/4/05,4,5,Q1,2005
40505,4/5/05,4,5,Q1,2005
40605,4/6/05,4,5,Q1,2005
40705,4/7/05,4,5,Q1,2005
40805,4/8/05,4,5,Q1,2005
40905,4/9/05,4,5,Q1,2005
41005,4/10/05,4,5,Q1,2005
41105,4/11/05,4,5,Q1,2005
41205,4/12/05,4,5,Q1,2005
41305,4/13/05,4,5,Q1,2005
41405,4/14/05,4,5,Q1,2005
41505,4/15/05,4,5,Q1,2005
41605,4/16/05,4,5,Q1,2005
41705,4/17/05,4,5,Q1,2005
41805,4/18/05,4,5,Q1,2005
41905,4/19/05,4,5,Q1,2005
42005,4/20/05,4,5,Q1,2005
42105,4/21/05,4,5,Q1,2005
42205,4/22/05,4,5,Q1,2005
42305,4/23/05,4,5,Q1,2005
42405,4/24/05,4,5,Q1,2005
42505,4/25/05,4,5,Q1,2005
42605,4/26/05,4,5,Q1,2005
42705,4/27/05,4,5,Q1,2005
42805,4/28/05,4,5,Q1,2005
42905,4/29/05,4,5,Q1,2005
43005,4/30/05,4,5,Q1,2005
50105,5/1/05,5,5,Q1,2005
50205,5/2/05,5,5,Q1,2005
50305,5/3/05,5,5,Q1,2005
50405,5/4/05,5,5,Q1,2005
50505,5/5/05,5,5,Q1,2005
50605,5/6/05,5,5,Q1,2005
50705,5/7/05,5,5,Q1,2005
50805,5/8/05,5,5,Q1,2005
50905,5/9/05,5,5,Q1,2005
51005,5/10/05,5,5,Q1,2005
51105,5/11/05,5,5,Q1,2005
51205,5/12/05,5,5,Q1,2005
51305,5/13/05,5,5,Q1,2005
51405,5/14/05,5,5,Q1,2005
51505,5/15/05,5,5,Q1,2005
51605,5/16/05,5,5,Q1,2005
51705,5/17/05,5,5,Q1,2005
51805,5/18/05,5,5,Q1,2005
51905,5/19/05,5,5,Q1,2005
52005,5/20/05,5,5,Q1,2005
52105,5/21/05,5,5,Q1,2005
52205,5/22/05,5,5,Q1,2005
52305,5/23/05,5,5,Q1,2005
52405,5/24/05,5,5,Q1,2005
52505,5/25/05,5,5,Q1,2005
52605,5/26/05,5,5,Q1,2005
52705,5/27/05,5,5,Q1,2005
52805,5/28/05,5,5,Q1,2005
52905,5/29/05,5,5,Q1,2005
53005,5/30/05,5,5,Q1,2005
53105,5/31/05,5,5,Q1,2005
60105,6/1/05,6,5,Q1,2005
60205,6/2/05,6,5,Q1,2005
