orderID,ship_method,payment_method,order_method
1,train,cod,email
2,truck,cod,email
3,air,cod,email
4,n/a,cod,email
5,,cod,email
6,train,charge,email
7,truck,charge,email
8,air,charge,email
9,n/a,charge,email
10,,charge,email
11,train,cash,email
12,truck,cash,email
13,air,cash,email
14,n/a,cash,email
15,,cash,email
16,train,,email
17,truck,,email
18,air,,email
19,n/a,,email
20,,,email
21,train,cod,phone
22,truck,cod,phone
23,air,cod,phone
24,n/a,cod,phone
25,,cod,phone
26,train,charge,phone
27,truck,charge,phone
28,air,charge,phone
29,n/a,charge,phone
30,,charge,phone
31,train,cash,phone
32,truck,cash,phone
33,air,cash,phone
34,n/a,cash,phone
35,,cash,phone
36,train,,phone
37,truck,,phone
38,air,,phone
39,n/a,,phone
40,,,phone
41,train,cod,mail
42,truck,cod,mail
43,air,cod,mail
44,n/a,cod,mail
45,,cod,mail
46,train,charge,mail
47,truck,charge,mail
48,air,charge,mail
49,n/a,charge,mail
50,,charge,mail
51,train,cash,mail
52,truck,cash,mail
53,air,cash,mail
54,n/a,cash,mail
55,,cash,mail
56,train,,mail
57,truck,,mail
58,air,,mail
59,n/a,,mail
60,,,mail
61,train,cod,internet
62,truck,cod,internet
63,air,cod,internet
64,n/a,cod,internet
65,,cod,internet
66,train,charge,internet
67,truck,charge,internet
68,air,charge,internet
69,n/a,charge,internet
70,,charge,internet
71,train,cash,internet
72,truck,cash,internet
73,air,cash,internet
74,n/a,cash,internet
75,,cash,internet
76,train,,internet
77,truck,,internet
78,air,,internet
79,n/a,,internet
80,,,internet
81,train,cod,
82,truck,cod,
83,air,cod,
84,n/a,cod,
85,,cod,
86,train,charge,
87,truck,charge,
88,air,charge,
89,n/a,charge,
90,,charge,
91,train,cash,
92,truck,cash,
93,air,cash,
94,n/a,cash,
95,,cash,
96,train,,
97,truck,,
98,air,,
99,n/a,,
0,0,0,0
