invoice,custID,prodID,salesDate,amt,qty,discounted
1,28,81,12/31/08,12483,102,0
2,28,7,12/31/09,16580,38,0
3,10,79,5/24/07,29300,189,0
4,10,18,5/24/06,87598,192,0
4,10,39,5/24/06,6322,21,0
4,10,61,5/24/06,27133,95,0
5,6,56,6/30/05,37730,187,0
6,31,68,4/3/09,58305,137,0
7,6,42,6/30/06,62683,112,0
8,31,11,4/3/06,20195,57,0
8,31,101,4/3/06,29417,102,0
9,17,3,6/26/10,30033,121,0
9,17,91,6/26/10,62534,127,0
10,28,2,12/31/05,32116,63,0
10,28,16,12/31/05,53010,115,0
10,28,91,12/31/05,20188,41,0
10,28,96,12/31/05,20140,188,0
11,23,104,6/7/07,45437,157,0
12,31,74,7/3/10,30129,111,0
13,40,63,3/13/06,12923,65,0
14,40,47,3/13/07,7643,54,0
14,40,86,3/13/07,45983,113,0
15,25,90,5/20/05,8806,21,0
16,25,65,5/20/06,21910,182,0
17,25,16,5/20/08,76980,167,0
17,25,101,5/20/08,43838,152,0
18,34,1,5/13/10,19301,117,0
18,34,17,5/13/10,12113,42,0
19,36,36,1/20/09,50455,126,1
20,36,34,1/20/08,6099,21,1
20,36,65,1/20/08,6260,52,0
21,19,29,2/27/09,8624,17,0
21,19,46,2/27/09,99031,191,0
21,19,77,2/27/09,4980,10,0
22,20,13,9/19/09,24778,71,1
22,20,40,9/19/09,26163,145,1
23,4,23,5/15/05,43627,187,0
23,4,56,5/15/05,39345,195,0
24,36,87,1/20/05,16875,35,0
25,25,7,5/9/10,7417,17,0
25,25,17,5/9/10,57682,200,0
25,25,54,5/9/10,7500,23,0
26,19,29,10/29/10,87771,173,0
26,19,52,10/29/10,16764,29,0
26,19,90,10/29/10,58291,139,0
27,36,64,1/20/06,91664,157,0
28,24,105,9/7/07,42345,152,0
29,36,36,5/23/05,90422,196,0
30,21,94,10/18/07,19832,35,0
30,21,104,10/18/07,31835,110,0
31,21,46,10/18/05,48837,112,1
32,20,5,4/19/09,3973,14,0
33,21,72,10/18/08,21047,156,0
34,21,9,10/18/09,52314,177,0
34,21,18,10/18/09,48361,106,0
35,20,104,4/19/08,50936,176,0
36,33,35,2/7/08,100659,178,0
37,24,4,2/17/10,39141,156,0
37,24,7,2/17/10,78103,179,0
38,12,29,1/25/10,28918,57,0
38,12,34,1/25/10,23493,69,0
38,12,71,1/25/10,49030,154,0
39,9,59,3/1/10,31343,85,0
40,8,66,3/7/10,9721,49,0
40,8,69,3/7/10,35601,81,0
41,18,35,11/14/05,87380,191,1
41,18,97,11/14/05,31675,63,1
42,8,18,12/26/06,91248,200,0
43,18,18,11/14/07,75279,165,0
43,18,73,11/14/07,43933,147,0
44,10,24,5/24/08,30098,101,0
44,10,69,5/24/08,41315,94,0
45,11,58,8/19/05,5328,23,0
45,11,93,8/19/05,30656,61,0
46,26,10,4/12/07,33584,60,0
46,26,63,4/12/07,26444,133,0
46,26,70,4/12/07,57269,98,0
47,37,13,8/26/09,6017,14,0
47,37,19,8/26/09,20535,165,0
47,37,49,8/26/09,70968,125,0
47,37,71,8/26/09,54442,171,0
48,23,40,5/15/08,30307,151,0
