salesBy,PRODID_sk,PRODID,DESCRIPTION,PRICE1,PRICE2,UNITCOST,SUPPLIER NAME,ADDR1,ADDR2,CITY,STATE,ZIP,TYPEDESCRIPTION,BUID
TPCE,86,86,Soya Cleaning Supplies,406.9,345.9,345.9,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Cleaning Supplies,B
TPCE,50,50,Restarts Paper Supplies,524.4,448.3,425.9,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Paper Supplies,B
TPCE,91,91,Scribble Plastic Supplies,492.4,405.7,397.6,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Plastic Supplies,B
TPCE,98,98,Barrels Flushing Chemicals,135.1,116.6,108.4,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Flushing Chemicals,C
TPCE,22,22,Whippers Covers,488.6,410.4,389.9,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Covers,D
TPCE,30,30,Detectives Jacks,283.3,248.5,236.1,Specialty Teleconstructors Inc,Attn : Zylina Cox,2161 Chalmers St.,Salinas,CA,93905,Jacks,D
TPCE,77,77,Vastest Photo Equip,498.1,442.3,420.2,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Photo Equip,A
TPCE,20,20,Flake Photo Equip,232.3,204.4,194.2,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Photo Equip,A
TPCE,65,65,Extinguisher Manufacturing Equip,120.4,98.4,90.5,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Manufacturing Equip,A
TPCE,24,24,Bandage Manufacturing Equip,298,267,253.7,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Manufacturing Equip,A
TPCE,48,48,Patriarchal Cleaning Supplies,351.5,284.8,264.8,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Cleaning Supplies,B
TPCE,57,57,South Tray Supplies,241.3,205.1,203.1,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Tray Supplies,B
TPCE,52,52,Identical Freezing Chemicals,578.1,465.9,447.3,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Freezing Chemicals,C
TPCE,75,75,Deferrable Freezing Chemicals,145,124.4,113.2,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Freezing Chemicals,C
TPCE,82,82,Numerals Covers,102.9,89,83.6,Sinclair Broadcast Group Inc.,Attn : Carla Shelby,6037 Ecuadorian St.,Clinton,MI,49236,Covers,D
TPCE,71,71,Simulations Photo Equip,318.4,255.7,245.4,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Photo Equip,A
TPCE,32,32,Chartable Photo Equip,410.2,347.4,312.7,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Photo Equip,A
