custID,salesDate,prodID,amt,qty,shipMethod,shipCost,paymentMethod,orderMethod,orderDate,discounted
28,123108,81,12483,102,,,,,0,0
28,123109,7,16580,38,,,,,0,0
10,52407,79,29300,189,,,,,0,0
10,52406,18,87598,192,,,,,0,0
10,52406,39,6322,21,,,,,0,0
10,52406,61,27133,95,,,,,0,0
6,63005,56,37730,187,,,,,0,0
31,40309,68,58305,137,,,,,0,0
6,63006,42,62683,112,,,,,0,0
31,40306,11,20195,57,,,,,0,0
31,40306,101,29417,102,,,,,0,0
17,62610,3,30033,121,,,,,0,0
17,62610,91,62534,127,,,,,0,0
28,123105,2,32116,63,,,,,0,0
28,123105,16,53010,115,,,,,0,0
28,123105,91,20188,41,,,,,0,0
28,123105,96,20140,188,,,,,0,0
23,60707,104,45437,157,,,,,0,0
31,70310,74,30129,111,,,,,0,0
40,31306,63,12923,65,,,,,0,0
40,31307,47,7643,54,,,,,0,0
40,31307,86,45983,113,,,,,0,0
25,52005,90,8806,21,,,,,0,0
25,52006,65,21910,182,,,,,0,0
25,52008,16,76980,167,,,,,0,0
25,52008,101,43838,152,,,,,0,0
34,51310,1,19301,117,,,,,0,0
34,51310,17,12113,42,,,,,0,0
36,12009,36,50455,126,,,,,0,1
36,12008,34,6099,21,,,,,0,1
36,12008,65,6260,52,,,,,0,0
19,22709,29,8624,17,,,,,0,0
19,22709,46,99031,191,,,,,0,0
19,22709,77,4980,10,,,,,0,0
20,91909,13,24778,71,,,,,0,1
20,91909,40,26163,145,,,,,0,1
4,51505,23,43627,187,,,,,0,0
4,51505,56,39345,195,,,,,0,0
36,12005,87,16875,35,,,,,0,0
25,50910,7,7417,17,,,,,0,0
25,50910,17,57682,200,,,,,0,0
25,50910,54,7500,23,,,,,0,0
19,102910,29,87771,173,,,,,0,0
19,102910,52,16764,29,,,,,0,0
19,102910,90,58291,139,,,,,0,0
36,12006,64,91664,157,,,,,0,0
24,90707,105,42345,152,,,,,0,0
36,52305,36,90422,196,,,,,0,0
21,101807,94,19832,35,,,,,0,0
21,101807,104,31835,110,,,,,0,0
21,101805,46,48837,112,,,,,0,1
20,41909,5,3973,14,,,,,0,0
21,101808,72,21047,156,,,,,0,0
21,101809,9,52314,177,,,,,0,0
21,101809,18,48361,106,,,,,0,0
20,41908,104,50936,176,,,,,0,0
33,20708,35,100659,178,,,,,0,0
24,21710,4,39141,156,,,,,0,0
24,21710,7,78103,179,,,,,0,0
12,12510,29,28918,57,,,,,0,0
12,12510,34,23493,69,,,,,0,0
12,12510,71,49030,154,,,,,0,0
9,30110,59,31343,85,,,,,0,0
8,30710,66,9721,49,,,,,0,0
8,30710,69,35601,81,,,,,0,0
18,111405,35,87380,191,,,,,0,1
18,111405,97,31675,63,,,,,0,1
8,122606,18,91248,200,,,,,0,0
18,111407,18,75279,165,,,,,0,0
18,111407,73,43933,147,,,,,0,0
10,52408,24,30098,101,,,,,0,0
10,52408,69,41315,94,,,,,0,0
11,81905,58,5328,23,,,,,0,0
11,81905,93,30656,61,,,,,0,0
26,41207,10,33584,60,,,,,0,0
26,41207,63,26444,133,,,,,0,0
26,41207,70,57269,98,,,,,0,0
37,82609,13,6017,14,,,,,0,0
37,82609,19,20535,165,,,,,0,0
37,82609,49,70968,125,,,,,0,0
37,82609,71,54442,171,,,,,0,0
23,51508,40,30307,151,,,,,0,0
23,51508,43,6930,14,,,,,0,0
21,10805,12,3292,12,,,,,0,0
21,10805,91,19696,40,,,,,0,0
21,10807,72,4182,31,,,,,0,0
21,10806,8,111022,190,,,,,0,0
21,10806,80,72107,151,,,,,0,0
34,61410,64,78819,135,,,,,0,0
21,10808,105,52096,187,,,,,0,0
28,123107,12,2743,10,,,,,0,0
23,51507,102,6361,20,,,,,0,0
11,81908,17,52490,182,,,,,0,0
37,82605,5,38600,136,,,,,0,0
37,82605,24,22350,75,,,,,0,0
37,82605,96,12855,120,,,,,0,0
3,10807,41,20189,117,,,,,0,0
12,30407,105,33709,121,,,,,0,0
34,40710,44,7469,38,,,,,0,0
10,70810,15,10165,64,,,,,0,0
10,70810,45,85146,172,,,,,0,0
10,70810,51,70196,141,,,,,0,0
10,70810,93,55785,111,,,,,0,0
25,61407,66,37497,189,,,,,0,0
25,61406,81,16033,131,,,,,0,0
34,52510,38,41489,183,,,,,0,0
34,52510,43,76725,155,,,,,0,0
34,52510,49,75510,133,,,,,0,0
34,52510,63,33602,169,,,,,0,0
5,91510,7,23125,53,,,,,0,0
33,20706,30,47314,167,,,,,0,0
15,100406,38,28340,125,,,,,0,0
15,100406,63,15707,79,,,,,0,0
15,100407,67,31780,159,,,,,0,0
15,100407,86,30519,75,,,,,0,0
15,100408,45,27722,56,,,,,0,0
15,100409,53,49543,104,,,,,0,0
27,71806,16,46096,100,,,,,0,0
27,71806,100,44148,118,,,,,0,0
33,20707,21,54331,96,,,,,0,0
27,122506,49,82323,145,,,,,0,0
38,71509,79,21394,138,,,,,0,0
21,72405,68,22130,52,,,,,0,0
38,71507,62,28918,57,,,,,0,0
38,71507,69,23734,54,,,,,0,0
38,71506,21,74705,132,,,,,0,0
10,30710,27,49563,147,,,,,0,0
25,92505,88,8332,36,,,,,0,0
25,92506,31,42925,105,,,,,0,0
25,92507,91,58595,119,,,,,0,0
25,92509,69,61973,141,,,,,0,0
7,100505,30,11332,40,,,,,0,0
20,52308,20,45522,196,,,,,0,0
33,52410,12,39786,145,,,,,0,0
33,52410,17,23361,81,,,,,0,0
29,120505,103,12335,25,,,,,0,0
1,42206,15,7624,48,,,,,0,0
36,11106,22,68405,140,,,,,0,0
36,11106,58,30813,133,,,,,0,0
36,11105,82,15121,147,,,,,0,0
36,11105,99,91048,172,,,,,0,0
8,32708,100,67719,181,,,,,0,0
8,32709,98,20535,152,,,,,0,0
40,51506,33,26511,67,,,,,0,0
40,51506,39,20774,69,,,,,0,0
40,51506,59,17331,47,,,,,0,0
40,51507,17,42684,148,,,,,0,0
40,51507,26,45649,191,,,,,0,1
40,51507,33,41548,105,,,,,0,0
